                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3636,                 2.6128,                 1.5607,                0.27609,                 0.7009,                0.40493,                0.23492,                 1.3627,                  2.656,                 1.5746,             0.00033159,             0.00033159,             0.00033159
                      2,                 1.2844,                 1.8904,                 1.5027,                0.51572,                0.53937,                0.55323,                0.31142,                 1.2975,                 1.5574,                 1.5001,             0.00066053,             0.00066053,             0.00066053
                      3,                 1.3178,                 1.7936,                 1.5007,                0.61974,                0.53577,                0.64172,                0.36564,                 1.2717,                 1.5351,                  1.484,             0.00098508,             0.00098508,             0.00098508
                      4,                 1.2909,                 1.6652,                  1.474,                 0.5881,                0.60939,                0.64581,                0.36107,                 1.3638,                 1.4622,                 1.5741,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.2599,                 1.6138,                 1.4801,                  0.576,                0.69281,                0.68166,                0.41271,                 1.2755,                  1.398,                  1.453,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.2209,                 1.5045,                 1.4378,                0.58073,                 0.7031,                0.66506,                0.36753,                  1.309,                 1.3637,                 1.5549,              0.0009736,              0.0009736,              0.0009736
                      7,                 1.2099,                 1.4712,                 1.4362,                0.60843,                 0.7125,                0.72243,                0.43811,                 1.2411,                 1.2071,                 1.4325,               0.000967,               0.000967,               0.000967
                      8,                 1.1681,                 1.4348,                 1.4299,                0.70336,                0.70543,                 0.7791,                0.46788,                 1.1568,                 1.2648,                 1.4117,              0.0009604,              0.0009604,              0.0009604
                      9,                 1.1841,                 1.3614,                  1.419,                0.72116,                0.74499,                0.78147,                0.46427,                  1.173,                 1.1905,                 1.3969,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.1856,                  1.367,                 1.4227,                0.68515,                0.74252,                0.76631,                0.47594,                 1.1854,                 1.1418,                 1.4059,              0.0009472,              0.0009472,              0.0009472
                     11,                 1.1448,                 1.3118,                 1.4017,                0.74041,                0.68149,                0.77217,                0.47045,                 1.1522,                  1.161,                 1.4001,              0.0009406,              0.0009406,              0.0009406
                     12,                 1.1269,                 1.2861,                 1.3845,                0.68646,                0.81446,                0.81457,                0.50229,                 1.1696,                 1.0996,                 1.3827,               0.000934,               0.000934,               0.000934
                     13,                  1.129,                 1.2155,                 1.3713,                0.68142,                0.73459,                0.74489,                0.45768,                 1.1533,                 1.2794,                 1.3599,              0.0009274,              0.0009274,              0.0009274
                     14,                 1.0936,                 1.2095,                 1.3728,                0.76769,                0.74539,                0.82784,                0.50182,                 1.1531,                0.96571,                 1.3731,              0.0009208,              0.0009208,              0.0009208
                     15,                 1.1103,                 1.2159,                 1.3789,                0.79511,                0.73217,                0.81886,                0.50355,                 1.1886,                 1.1235,                 1.3694,              0.0009142,              0.0009142,              0.0009142
                     16,                 1.1209,                 1.1733,                 1.3794,                0.73295,                0.74018,                  0.783,                 0.5003,                 1.1336,                 1.0843,                 1.3774,              0.0009076,              0.0009076,              0.0009076
                     17,                 1.0953,                  1.166,                 1.3603,                0.72824,                0.80737,                0.84306,                0.53281,                 1.1136,                0.99612,                 1.3638,               0.000901,               0.000901,               0.000901
                     18,                 1.0776,                  1.082,                  1.342,                0.78229,                0.77656,                 0.8175,                0.51906,                 1.1337,                 1.0191,                 1.3604,              0.0008944,              0.0008944,              0.0008944
                     19,                 1.0999,                 1.0858,                 1.3488,                0.78497,                0.76354,                0.83397,                0.52119,                 1.1805,                 0.9515,                 1.3871,              0.0008878,              0.0008878,              0.0008878
                     20,                 1.0588,                 1.1179,                 1.3492,                 0.7416,                0.77523,                 0.8153,                0.50159,                 1.1673,                0.99325,                 1.3938,              0.0008812,              0.0008812,              0.0008812
                     21,                 1.0245,                  1.055,                 1.3298,                 0.7872,                0.80072,                0.84217,                0.53994,                 1.1101,                0.92903,                 1.3183,              0.0008746,              0.0008746,              0.0008746
                     22,                 1.0537,                 1.0394,                 1.3243,                0.79422,                0.78923,                0.84143,                0.54002,                 1.1338,                0.94873,                 1.3428,               0.000868,               0.000868,               0.000868
                     23,                 1.0526,                 1.0207,                 1.3285,                0.77174,                0.83148,                0.86382,                0.54665,                 1.1076,                0.95369,                 1.3464,              0.0008614,              0.0008614,              0.0008614
                     24,                 1.0372,                  1.023,                 1.3292,                0.81064,                0.72382,                0.83012,                0.51924,                 1.1268,                0.98272,                   1.37,              0.0008548,              0.0008548,              0.0008548
                     25,                 1.0213,                 1.0147,                  1.316,                0.76629,                0.84734,                0.85999,                0.53039,                 1.1454,                0.91585,                 1.3614,              0.0008482,              0.0008482,              0.0008482
                     26,                 1.0186,                0.98097,                 1.3135,                0.82583,                0.82281,                0.87043,                0.54791,                 1.1051,                0.84437,                 1.3322,              0.0008416,              0.0008416,              0.0008416
                     27,                 1.0273,                 0.9768,                 1.3142,                0.76621,                0.77637,                0.84834,                0.54585,                  1.118,                 0.8977,                 1.3314,               0.000835,               0.000835,               0.000835
                     28,                 1.0034,                0.95577,                 1.2995,                0.75528,                0.77677,                0.82941,                0.52499,                  1.131,                 1.0582,                 1.3555,              0.0008284,              0.0008284,              0.0008284
                     29,                 1.0104,                0.94131,                 1.3059,                0.78655,                0.83082,                0.88733,                0.56734,                 1.0876,                0.88466,                 1.3298,              0.0008218,              0.0008218,              0.0008218
                     30,                0.98613,                0.92608,                 1.2854,                0.85067,                0.77556,                0.84456,                 0.5492,                 1.0797,                 1.0174,                 1.3055,              0.0008152,              0.0008152,              0.0008152
                     31,                0.99673,                0.91201,                 1.2857,                0.71778,                0.85294,                0.84223,                0.53333,                 1.1558,                 1.0032,                 1.3563,              0.0008086,              0.0008086,              0.0008086
                     32,                  1.001,                0.89375,                 1.2909,                0.81478,                0.79359,                0.87441,                0.56281,                 1.0736,                0.84535,                 1.2945,               0.000802,               0.000802,               0.000802
                     33,                 0.9881,                0.90621,                 1.2812,                 0.7663,                0.82792,                0.84931,                0.55268,                 1.0795,                 0.8836,                 1.3088,              0.0007954,              0.0007954,              0.0007954
                     34,                0.98759,                0.86888,                 1.2818,                0.75448,                0.75043,                0.82082,                0.53137,                 1.0772,                 1.0279,                 1.3017,              0.0007888,              0.0007888,              0.0007888
